"id","youth","ethnicity","village","item","item_name","item_index","y"
"82744",2,2,"Mankanza",62,"cash_sm",5,2
"82744",2,2,"Mankanza",54,"duiker_lg",12,1
"82744",2,2,"Mankanza",19,"biscuit_sm",17,3
"82744",2,2,"Mankanza",55,"fish_lg",14,1
"82744",2,2,"Mankanza",69,"bread_lg",2,1
"82744",2,2,"Mankanza",48,"mangbele_sm",7,3
"82744",2,2,"Mankanza",63,"cash_lg",6,2
"82744",2,2,"Mankanza",53,"duiker_sm",11,2
"82744",2,2,"Mankanza",65,"cube_sm",15,2
"82744",2,2,"Mankanza",51,"honey_lg",10,2
"82744",2,2,"Mankanza",49,"mangbele_lg",8,1
"05071",2,1,"Mankanza",54,"duiker_lg",12,2
"05071",2,1,"Mankanza",68,"bread_sm",1,2
"05071",2,1,"Mankanza",55,"fish_lg",14,1
"05071",2,1,"Mankanza",19,"biscuit_sm",17,2
"05071",2,1,"Mankanza",62,"cash_sm",5,1
"05071",2,1,"Mankanza",66,"cube_lg",16,1
"05071",2,1,"Mankanza",20,"honey_sm",9,2
"05071",2,1,"Mankanza",57,"biscuit_lg",18,1
"05071",2,1,"Mankanza",51,"honey_lg",10,2
"05071",2,1,"Mankanza",65,"cube_sm",15,3
"05071",2,1,"Mankanza",53,"duiker_sm",11,1
"05071",2,1,"Mankanza",60,"sardines_lg",4,2
"05071",2,1,"Mankanza",49,"mangbele_lg",8,2
"05071",2,1,"Mankanza",59,"sardines_sm",3,2
"05071",2,1,"Mankanza",63,"cash_lg",6,2
"05071",2,1,"Mankanza",10,"fish_sm",13,2
"05071",2,1,"Mankanza",48,"mangbele_sm",7,2
"05071",2,1,"Mankanza",69,"bread_lg",2,2
"10907",2,1,"Mankanza",20,"honey_sm",9,2
"10907",2,1,"Mankanza",10,"fish_sm",13,2
"10907",2,1,"Mankanza",51,"honey_lg",10,1
"10907",2,1,"Mankanza",48,"mangbele_sm",7,2
"10907",2,1,"Mankanza",55,"fish_lg",14,1
"10907",2,1,"Mankanza",19,"biscuit_sm",17,2
"10907",2,1,"Mankanza",62,"cash_sm",5,1
"10907",2,1,"Mankanza",63,"cash_lg",6,1
"10907",2,1,"Mankanza",65,"cube_sm",15,2
"10907",2,1,"Mankanza",66,"cube_lg",16,1
"10907",2,1,"Mankanza",69,"bread_lg",2,1
"10907",2,1,"Mankanza",68,"bread_sm",1,2
"10907",2,1,"Mankanza",54,"duiker_lg",12,1
"10907",2,1,"Mankanza",53,"duiker_sm",11,2
"10907",2,1,"Mankanza",49,"mangbele_lg",8,2
"10907",2,1,"Mankanza",57,"biscuit_lg",18,2
"54897",2,2,"Mankanza",68,"bread_sm",1,3
"54897",2,2,"Mankanza",20,"honey_sm",9,2
"54897",2,2,"Mankanza",66,"cube_lg",16,2
"54897",2,2,"Mankanza",62,"cash_sm",5,3
"54897",2,2,"Mankanza",54,"duiker_lg",12,1
"54897",2,2,"Mankanza",19,"biscuit_sm",17,3
"54897",2,2,"Mankanza",55,"fish_lg",14,1
"54897",2,2,"Mankanza",69,"bread_lg",2,1
"54897",2,2,"Mankanza",48,"mangbele_sm",7,3
"54897",2,2,"Mankanza",63,"cash_lg",6,2
"54897",2,2,"Mankanza",59,"sardines_sm",3,2
"54897",2,2,"Mankanza",49,"mangbele_lg",8,1
"54897",2,2,"Mankanza",60,"sardines_lg",4,1
"54897",2,2,"Mankanza",53,"duiker_sm",11,2
"54897",2,2,"Mankanza",65,"cube_sm",15,2
"54897",2,2,"Mankanza",51,"honey_lg",10,2
"54897",2,2,"Mankanza",57,"biscuit_lg",18,2
"54897",2,2,"Mankanza",10,"fish_sm",13,2
"10649",2,2,"Mankanza",19,"biscuit_sm",17,1
"10649",2,2,"Mankanza",20,"honey_sm",9,1
"10649",2,2,"Mankanza",49,"mangbele_lg",8,1
"10649",2,2,"Mankanza",66,"cube_lg",16,1
"10649",2,2,"Mankanza",68,"bread_sm",1,2
"10649",2,2,"Mankanza",51,"honey_lg",10,1
"10649",2,2,"Mankanza",53,"duiker_sm",11,1
"10649",2,2,"Mankanza",63,"cash_lg",6,1
"10649",2,2,"Mankanza",55,"fish_lg",14,1
"10649",2,2,"Mankanza",48,"mangbele_sm",7,2
"10649",2,2,"Mankanza",10,"fish_sm",13,1
"10649",2,2,"Mankanza",54,"duiker_lg",12,1
"10649",2,2,"Mankanza",62,"cash_sm",5,1
"10649",2,2,"Mankanza",65,"cube_sm",15,1
"10649",2,2,"Mankanza",69,"bread_lg",2,1
"10649",2,2,"Mankanza",57,"biscuit_lg",18,1
"10649",2,2,"Mankanza",59,"sardines_sm",3,1
"10649",2,2,"Mankanza",60,"sardines_lg",4,1
"24102",2,2,"Mankanza",10,"fish_sm",13,3
"24102",2,2,"Mankanza",57,"biscuit_lg",18,2
"24102",2,2,"Mankanza",51,"honey_lg",10,2
"24102",2,2,"Mankanza",65,"cube_sm",15,3
"24102",2,2,"Mankanza",53,"duiker_sm",11,2
"24102",2,2,"Mankanza",60,"sardines_lg",4,2
